version,score
0,0
1,0.187
2,0.753
3,0.990
4,0.536
5,0.462
6,0.435
7,0.383
8,0.381
9,0.375
10,0.395
11,0.265
12,0.266
13,0.282
14,0.388
15,0.482
16,0.482
17,0.478
18,0.489
19,0.486
20,0.482
21,0.482
22,0.493
23,0.493
24,0.445
25,0.480
26,0.482
27,0.477
28,0.485
29,0.482
30,0.486
31,0.507
32,0.491
33,0.493
34,0.478
35,0.471
36,0.505
